id,products_name,protein_per_100g,fat_per_100g,carb_per_100g,kcal_per_100g
2428,Приправа Maggi На второе для нежной курицы по-итальянски,6.1,32,27,437
2429,Приправа Maggi На второе для нежной курицы с чесноком и травами,6.3,32.9,23.8,434
2430,Приправа Maggi На второе для пельменей по-уральски,5.5,16.2,57.9,402
2431,Приправа Maggi На второе для плова с курицей,6,6.5,39.1,270
2432,Приправа Maggi На второе для постных котлеток из фасоли с соусом,9.9,3,6.1,323
2433,Приправа Maggi На второе для сочного жаркого из курицы с овощами,5.5,6.3,44.9,259
2434,Приправа Maggi На второе для сочного мяса с чесночком и луком по-домашнему,1.9,3.9,51.4,255
2435,Приправа Maggi На второе для сочного цыпленка табака,2.5,3.5,63.5,308
2436,Приправа Maggi На второе для сочной курицы с травами,3.7,1.6,50.7,232
2437,Приправа Maggi На второе для сочной курицы с чесноком,4.9,3.9,51,277
2438,Приправа Maggi На второе для сочной курочки Карри,4.9,4.9,54,293
2439,Приправа Maggi На второе для сочных ребрышек барбекю,5.4,3.7,56.6,298
2440,Приправа Maggi На второе для сочных ребрышек с дымком,2.7,3.2,49.9,239
2441,Приправа Maggi На второе для сочных тефтелек в сливочно-томатном соусе,9.9,3.2,62,329
2442,Приправа Maggi На второе для хрустящих наггетсов с соусом тартар,5.3,4.6,68.6,342
2443,Приправа Maggi На второе для чахохбили из курицы,7.8,3.4,50.4,264
2444,Приправа Maggi Подлива домашняя золотистая,4.5,2.2,69,315
2445,Приправа грибная,2,2,4,40
2446,Приправа для баранины,2,6,25.5,144
2447,Приправа для борща,10.3,1.5,29.5,173
2448,Приправа для гуляша,6,2,25.5,144
2449,Приправа для картофеля,6,2,25.5,144
2450,Приправа для курицы,8.4,1.2,29.1,161
2451,Приправа для моркови по-корейски,8.2,1.2,28.5,158
2452,Приправа для мяса,6,2,25.5,144
2453,Приправа для пельменей,6,2,25.5,144
2454,Приправа для пиццы,10.4,1.5,29.5,173
2455,Приправа для плова,10.3,1.5,29.5,173
2456,Приправа для риса,11.4,0.8,24.8,152
2457,Приправа для рыбы,8.1,1.3,30.5,166
2458,Приправа для сала,8.4,1.2,29.1,161
2459,Приправа для салата,11.4,0.8,24.8,152
2460,Приправа для супа,10.3,1.5,29.5,173
2461,Приправа для тыквенного пирога,5.8,12.6,69.3,412
2462,Приправа для ухи,8.1,1.3,30.5,166
2463,Приправа для фарша,6,2,25.5,144
2464,Приправа для шашлыка,8.4,1.2,29.1,161
2465,Приправа Мивина куриная,0.5,6.7,19.6,141
2466,Приправа овощная,10.3,1.5,29.5,173
2467,Приправа Смесь перцев,10.9,3.2,38.3,255
2468,Приправа универсальная,7.8,0.7,12.8,89
2469,Псиллиум,2.9,0.1,7.3,42
2470,Пудинг Dr.Oetker классический с ванильным вкусом,0.3,0,87,349
2471,Пудинг Dr.Oetker с бельгийским шоколадом,5.8,6.8,66.3,350
2472,Разрыхлитель теста,0.1,0,19.6,79
2473,Розмарин,3.3,5.9,20.7,131
2474,Розмарин сушеный,4.8,15.2,64,331
2475,Сахар Мистраль Демерара тростниковый,0,0,98.5,394
2476,Сахар Мистраль коричневый кристаллы,0,0,98.5,394
2477,Сахар тростниковый,0,0,99.4,398
2478,Сахар-песок,0,0,99.7,398
2479,Сахар-рафинад,0,0,99.9,400
2480,Сахарная пудра,0,0,99.8,374
2481,Сахарозаменитель Coconut Secret кокосовый нектар,0,0,86.6,366
2482,Сахарозаменитель Fit Parad №1,0,0,0.2,1
2483,Сахарозаменитель Fit Parad №10,0,0,0.5,2
2484,Сахарозаменитель Fit Parad №11,0,0,94.5,203
2485,Сода пищевая,0,0,0,0
2486,Солодка (корень),0,0.1,93.5,375
2487,Солодка (лакрица),0,0.1,93,375
2488,Соль,0,0,0,0
2489,Соль гималайская розовая,0.1,0.1,0.7,5
2490,Соль йодированная,0,0,0,0
2491,Соль морская,0,0,0,0
2492,Соль сванская,0,0,0,0
2493,Соль чесночная,4.3,0.2,1.9,27
2494,Соус Astoria Карри с ананасом,0,30,9.6,310
2495,Соус Astoria Манговый,0.1,0,34,140
2496,Соус Astoria Сэндвич,0.3,30,9,310
2497,Соус Barilla Basilico томатный,1.6,2.7,6.8,61
2498,Соус Barilla Pesti alla Genovese Basilico Fresco,5,52,5.5,514
2499,Соус Barilla Pesti con Basilico e Rucola,3.9,42.5,10.2,437
2500,Соус Heinz Swiss Chocolate,3.5,3.5,58,280
2501,Соус Sen Soy Yakisoba для обжарки лапши,3.4,0.1,15.6,77
2502,Соус апельсиновый,0.6,4.6,3.1,55
2503,Соус базиликовый,1.1,54.6,2.8,505
2504,Соус барбекю,0.6,0.7,39.4,166
2505,Соус барбекю Heinz,1.1,0,28.6,119
2506,Соус барбекю Rioba,1.2,1.3,16.8,84
2507,Соус брусничный Astoria,0,0,24.5,100
2508,Соус брусничный Heinz деликатесный,0.2,0.1,51,200
2509,Соус вустерский San Bonsai,0.7,0.8,23,102
2510,Соус горчичный Astoria,0,20,10.7,224
2511,Соус грибной,1.2,4.8,6.2,82
2512,Соус грибной Слобода,0.6,60,3,554
2513,Соус для спагетти Heinz сливочно-томатный,1.9,4,6.3,69
2514,Соус для спагетти Heinz традиционный,1.2,3.6,5.8,61
2515,Соус карри,1.4,23.1,14.9,267
2516,Соус карри Rioba,0.6,1.7,25,121
2517,Соус кимчи,6.1,1.1,15.1,94
2518,Соус кисло-сладкий,0.3,0.8,39.7,167
2519,Соус кисло-сладкий Sen Soy Премиум,1,0,30,124
2520,Соус кисло-сладкий азиатский,2,6,25,143
2521,Соус кисло-сладкий с ананасом,0.3,0.2,21.2,89
2522,Соус клюквенный,0.2,1,42.2,180
2523,Соус луковый,1.3,6.1,4.8,75
2524,Соус майонез со сметаной,2.8,31.9,3.3,312
2525,Соус майонезный Zero низкокалорийный Провансальский,0,9,5.2,102
2526,Соус майонезный Zero низкокалорийный с оливками,0,9,5.2,102
2527,Соус ореховый,23.4,37.5,10.5,473
2528,Соус Пад Тай,14.6,27.1,25,375
2529,Соус песто,5,45,6,454
2530,Соус ремулад,0.2,9,1.1,89
2531,Соус сметанный,1.9,5.7,5.2,78
2532,Соус сметанный с шампиньонами,0.6,14.5,9.1,169
2533,Соус соевый,7,0,8,53
2534,Соус соевый Heinz,2.6,0,43,183
2535,Соус соевый Kikkoman,10.3,0,8.1,73
2536,Соус соевый Mivimex,6.3,0,0,25
2537,Соус соевый Сэн Сой классический,3.5,0,11,58
2538,Соус соевый Сэн Сой Премиум Терияки,4.8,0,25.1,119
2539,Соус сырный Heinz,2.5,36,5.5,356
2540,Соус сырный Слобода,0.6,60,3,550
2541,Соус тартар,0.9,46,7,464
2542,Соус терияки,5.9,0,15.5,89
2543,Соус терияки Heinz,1.5,0,42,180
2544,Соус терияки Sen Soy сладкий для обжаривания,4,0,31,140
2545,Соус терияки Махеевъ деликатесный,1.2,0,33.5,139
2546,Соус томатный,1.7,7.8,4.5,80
2547,Соус томатный острый,2.5,0,21.8,98
2548,Соус укропный,0.8,30,8.1,309
2549,Соус устричный,3.5,0,21.3,121
2550,Соус устричный San Bonsai,3,0,35,150
2551,Соус чесночный,1.6,32.2,9.1,335
2552,Соус четыре перца Heinz,1.5,42,13,440
2553,Соус чили,2.5,0.3,30.1,120
2554,Соус Чим-Чим для приготовления курицы в сладком чили,0.3,0.2,42,170
2555,Сухари панировочные,9.7,1.9,77.6,347
2556,Сухари панировочные Myllyn Paras,13.9,2.5,72.5,372
2557,Тимьян (чабрец),5.6,1.7,10.5,101
2558,Тимьян сушеный,9.1,7.4,26.9,276
2559,Ткемали,0.2,0.3,15.2,65
2560,Тмин,19.8,14.6,11.9,333
2561,Томатная паста,2.5,0.3,16.7,80
2562,Травы итальянские,12.4,6.5,26,259
2563,Укроп сушеный,2.5,0.5,6.3,40
2564,Уксус бальзамический,0.5,0,17,88
2565,Уксус белый винный,0,0,5.9,14
2566,Уксус виноградный,0,0,0.3,18
2567,Уксус кокосовый,0,0,0.9,21
2568,Уксус рисовый,0.3,0,13,54
2569,Уксус рисовый Sen Soy для салата,0,0,1,4
2570,Уксус столовый 9%,0,0,3,32
2571,Уксус яблочный 3%,0,0,2.3,11
2572,Уксус яблочный 5%,0,0,0.7,18
2573,Уксус яблочный 6%,0,0,7.2,14
2574,Фруктоза,0,0,99.8,399
2575,Хмели-сунели,5,40,10,417
2576,Хрен сушеный,3.2,0.4,10.5,56
2577,Хрен тёртый,3.2,0.4,10.5,56
2578,Хрен тёртый с чесноком,1.2,4.1,7.5,72
2579,Хрен тёртый со свеклой,1.1,4.1,7.8,73
2580,Хрен тёртый Столовый,2.2,7.8,9.6,117
2581,Цедра апельсина,0.9,0.1,3,16
2582,Цедра грейпфрута,0.7,0.2,6.5,29
2583,Цедра лайма,0.9,0.1,3,16
2584,Цедра лимона,0.9,0.1,3,16
2585,Цикорий,1.7,0.2,4.1,21
2586,Чабер садовый сушеный,6.7,5.9,23,272
2587,Чеснок сушеный,16,0.4,75,345
2588,Чили паста,2.5,0.3,15,65
2589,Шалфей,3.7,0.4,8,49
2590,Шалфей сушеный,10.6,12.8,20.4,315
2591,Шафран,11.4,5.9,65.4,310
2592,Шафран имеретинский (бархатцы),11.4,5.8,61.4,310
2593,Эстрагон,1.5,0,5,25
2594,Эстрагон сушеный,22.7,7.2,42.8,295
2595,Десерт горячий Брауни Бургер Кинг,5.6,30.9,39.2,456
2596,Десерт мороженое Рожок Бургер Кинг,4.2,4.2,25.5,157
2597,Картофель Деревенский Бургер Кинг,2.9,10.8,28.5,223
2598,Картофель Кинг Фри Бургер Кинг,4.7,13.1,33.6,275
2599,Напиток 7UP Бургер Кинг,0,0,10.7,43
2600,Напиток Mirinda Бургер Кинг,0,0,12.2,49
2601,Напиток Pepsi Бургер Кинг,0,0,10.8,43
2602,Напиток кофе Бургер Кинг,0,0,0,0
2603,Напиток кофе Капучино Бургер Кинг,2,2.2,4.9,48
2604,Напиток кофе Латте Бургер Кинг,2.6,2.8,5.9,60
2605,Напиток Молочный шейк (ванильный) Бургер Кинг,3.9,4,23.4,145
2606,Напиток чай (зеленый и черный) Бургер Кинг,0,0,0,0
2607,Салат Микс Бургер Кинг,1.3,0.2,4,23
2608,Снеки Кинг Наггетс,16,16.7,15.2,275
2609,Снеки Крылышки Кинг,21.8,13.7,2.6,221
2610,Снеки Луковые колечки Бургер Кинг,5.2,13.3,38.1,293
2611,Сэндвич Биг Кинг,8.5,13.1,14.9,212
2612,Сэндвич Воппер,9.2,12.1,15.4,207
2613,Сэндвич Воппер Двойной,11.9,15.1,12.1,230
2614,Сэндвич Воппер Джуниор,9.2,10.7,19,207
2615,Сэндвич Воппер Тройной,13.7,16.4,9.9,240
2616,Сэндвич Гамбургер Бургер Кинг,7.6,5.1,25.9,182
2617,Сэндвич Гриль Чикен Барбекю,12.1,11.9,18.5,233
2618,Сэндвич Криспи Чикен,9.7,15.8,18.9,257
2619,Сэндвич Стейкхаус Бургер Кинг,12,16.5,18.6,276
2620,Сэндвич Фиш Кинг,8.8,14.9,21.4,255
2621,Сэндвич Цезарь Ролл Бургер Кинг,10.7,10.9,19.7,230
2622,Сэндвич Чизбургер Бургер Кинг,8.8,7.3,23.6,198
2623,Сэндвич Чизбургер Двойной Бургер Кинг,9.6,8.6,17,187
2624,Сэндвич Чикен Лонг,10.9,16.1,22.4,278
2625,Сэндвич Чикенбургер Бургер Кинг,8.3,16.2,22.6,270
2626,Десерт Вафельный рожок McDonalds,3,4,22,135
2627,Десерт Вишнёвый пирожок McDonalds,2,12,29,230
2628,Десерт Макфлурри Де Люкс карамельно-шоколадный,7,10,71,400
2629,Десерт Макфлурри Де Люкс клубнично-шоколадный,6,8,61,340
2630,Десерт Макфлурри с рисовыми шариками,6,8,61,340
2631,Десерт Макфлурри с шоколадно-вафельной крошкой,6,8,40,280
2632,Десерт Маффин с чёрной смородиной,5,18,47,370
2633,Десерт Маффин с шоколадом,6,12,55,350
2634,Десерт Мороженое с карамелью,5,7,60,325
2635,Десерт Мороженое с клубникой,5,5,50,265
2636,Десерт Мороженое с шоколадом,6,9,52,315
2637,Картофель по-деревенски McDonalds,4,15,42,330
2638,Картофель фри McDonalds (большая порция),5,22,54,445
2639,Картофель фри McDonalds (маленькая порция),3,12,29,240
2640,Картофель фри McDonalds (средняя порция),5,17,42,340
2641,Коктейль ванильный McDonalds 400 мл,9,7,71,385
2642,Коктейль клубничный McDonalds 400 мл,9,7,71,385
2643,Коктейль шоколадный McDonalds 400 мл,10,8,70,395
2644,Макзавтрак Блины с джемом,7,3,57,303
2645,Макзавтрак Блины с мёдом,7,3,59,308
2646,Макзавтрак Блины стандартные,7,3,45,235
2647,Макзавтрак двойной МакМаффин с яйцом и свиной котлетой,36,41,31,645
2648,Макзавтрак двойной Фреш МакМаффин,27,35,33,560
2649,Макзавтрак МакМаффин с яйцом и беконом,17,14,27,310
2650,Макзавтрак МакМаффин с яйцом и свиной котлетой,24,25,27,435
2651,Макзавтрак МакМаффин с яйцом и сыром,15,11,27,275
2652,Макзавтрак МакМаффин со свиной котлетой,17,20,27,360
2653,Макзавтрак МакТост,10,10,30,255
2654,Макзавтрак МакТост с ветчиной,14,11,30,280
2655,Макзавтрак Овсяная каша с джемом,4,4,35,200
2656,Макзавтрак Овсяная каша с клюквой и изюмом,4.3,4,38,212
2657,Макзавтрак Овсяная каша с мёдом,4,4,35,210
2658,Макзавтрак Овсяная каша стандартная,4,4,23,150
2659,Макзавтрак Снек Ролл с омлетом и беконом,16,16,27,320
2660,Макзавтрак Снек Ролл с омлетом и свиной котлетой,22,26,27,435
2661,Макзавтрак Фреш МакМаффин,18,21,33,400
2662,Макзавтрак Хашбраун,1,8,14,135
2663,Макзавтрак Чикен Фреш МакМаффин,19,13,41,365
2664,Морковные палочки McDonalds,1,0,6,27
2665,Напиток Апельсиновый сок McDonalds 400 мл,3,1,41,190
2666,Напиток Двойной Эспрессо McDonalds,0.2,0.1,0.2,3
2667,Напиток Капучино McDonalds 300 мл,6,7,9,125
2668,Напиток Кока-Кола McDonalds 400 мл,0,0,42,170
2669,Напиток Кока-Кола Лайт McDonalds 400 мл,0.4,0,0,2
2670,Напиток Кофе McDonalds 200 мл,0.6,0.2,0.6,7
2671,Напиток Кофе Глясе McDonalds,4,3,19,125
2672,Напиток Кофе Латте McDonalds,6,7,10,125
2673,Напиток Липтон Айс-Ти Зелёный McDonalds 400 мл,0,0,27,110
2674,Напиток Липтон Айс-Ти Лимон McDonalds 400 мл,0,0,27,110
2675,Напиток Спрайт McDonalds 400 мл,0.4,0,41,165
2676,Напиток Фанта McDonalds 400 мл,0.4,0,46,185
2677,Напиток Чай чёрный/зелёный McDonalds,0,0,0,0
2678,Салат Овощной McDonalds,2,3,5,60
2679,Салат Цезарь McDonalds,15,10,9,190
2680,Соус барбекю McDonalds,0.2,0.3,11,48
2681,Соус карри McDonalds,0,0,12,50
2682,Соус кетчуп McDonalds,0,0.3,6.6,27
2683,Соус кисло-сладкий McDonalds,0.1,0.3,12,49
2684,Соус сырный McDonalds,0.6,9,1.4,89
2685,Сэндвич Биг Брекфаст Ролл,27,36,54,655
2686,Сэндвич Биг Мак,27,26,41,510
2687,Сэндвич Биг Тейсти,44,52,50,850
2688,Сэндвич Биф а-ля Рус,29,31,44,580
2689,Сэндвич Биф Ролл,20,29,43,520
2690,Сэндвич Гамбургер,13,9,30,255
2691,Сэндвич Гранд Де Люкс (Вкусно и точка),31,31,40,570
2692,Сэндвич Двойной Чизбургер,27,24,31,450
2693,Сэндвич Макчикен,20,19,44,435
2694,Сэндвич Монблан Бургер,55,42,55,740
2695,Сэндвич Роял Де Люкс,30,29,42,555
2696,Сэндвич Роял Чизбургер,32,28,36,530
2697,Сэндвич Филе-о-фиш,14,13,36,320
2698,Сэндвич Фиш Ролл,17,23,49,475
2699,Сэндвич Фреш Ролл,25,38,40,610
2700,Сэндвич Цезарь Ролл,22,24,50,510
2701,Сэндвич Чизбургер,16,13,30,305
2702,Сэндвич Чикен Бекон,27,36,60,680
2703,Сэндвич Чикен Мифик,29,35,48,625
2704,Сэндвич Чикен Премьер Халапеньо (Вкусно и точка),26,24,51,526
2705,Сэндвич Чикен Хит Халапеньо (Вкусно и точка),21,22,49,485
2706,Сэндвич Чикен Эмменталь,29,35,48,625
2707,Сэндвич Чикенбургер,12,16,41,360
2708,Чикен Макнаггетс McDonalds,2.8,2.3,3.2,45
2709,Яблочные дольки McDonalds,0,0,8,38
2710,Баскет 16 крыльев,13.8,19.5,18.6,306
2711,Баскет 25 крыльев,16.6,20.7,15.4,314
2712,Баскет Дуэт оригинальный и острый,16.5,15.1,17.2,271
2713,Баскет Пати,10.2,17,22.3,284
2714,Баскет Стар,17,15.1,17.2,273
2715,Десерт Мороженое Айс Дрим Клубника или Шоколад KFC,3.6,3.4,32,173
2716,Десерт Мороженое Банан-Брауни KFC,2.8,4.5,31.6,178
2717,Десерт Мороженое в рожке Летнее KFC,4.4,3.9,25.3,154
2718,Десерт Мороженое Летняя фантазия Клубничное KFC,3.5,3.5,30.5,167
2719,Десерт Мороженое Попкорн KFC,2.7,3.2,31.1,163
2720,Десерт Пирожок Хот Пай Дуэт Вишня и Шоколад KFC,7.5,29.8,58.3,531
2721,Десерт Чизкейк Нью Йорк Карамель KFC,6.8,21.2,32.1,346
2722,Десерт Чизкейк Нью Йорк Клубника KFC,5.2,20.3,34.1,339
2723,Десерт Чизкейк Нью Йорк Шоколад KFC,5.5,20.7,33.1,341
2724,Завтрак Биггер Утренний оригинальный,11,9.9,20.4,214
2725,Завтрак Биггер Утренний острый,10.5,8.8,20.8,205
2726,Завтрак Блинчики KFC,8,4.7,32.9,205
2727,Завтрак Боксмастер утренний,9.4,10.5,17.9,203
2728,Завтрак Брейкер,11.2,10.9,22.8,234
2729,Завтрак Бустер,12.6,10.1,19.5,219
2730,Завтрак Картофельный Хашбраун KFC,2.4,52,14.1,534
2731,Завтрак Овсяная каша KFC,3.3,1.9,16,94
2732,Завтрак Райзер,11.3,8.5,24.7,220
2733,Завтрак Твистер утренний,10.6,10.4,18.8,212
2734,Завтрак Тост с сыром KFC,11.1,12,34.1,288
2735,Завтрак Яичница с байтсами KFC,18.9,13.9,6.6,228
2736,Картофель фри KFC (стандартная порция),3.8,15.5,30.1,276
2737,Коктейль молочный Милкшейк Лесная клубника KFC 400 мл,3.4,3.5,27.2,143
2738,Коктейль молочный Милкшейк Шоколадно-Ореховый KFC 400 мл,3.4,3.5,27.2,154
2739,Курица 1 крыло KFC,16.6,20.7,15.4,314
2740,Курица 1 ножка KFC,21.4,12.6,10.1,239
2741,Курица 1 стрипс оригинальный,24.5,15.2,13.7,290
2742,Курица 1 стрипс острый,22.3,10.3,15.8,245
2743,Курица Байтсы Острые,23.5,11.9,16.6,268
2744,Курица Байтсы Терияки,15.1,8.9,26,244
2745,Напиток Кофе Капучино KFC 300 мл,1.8,1.1,10.6,60
2746,Салат Цезарь лайт KFC (без заправки),10.6,7.3,7.3,137
2747,Сэндвич Айтвистер,10,9.4,27.1,233
2748,Сэндвич Айтвистер Чиз,9.7,13.7,23.3,256
2749,Сэндвич Биг Маэстро Бургер Оригинальный,12.9,10.2,22.3,233
2750,Сэндвич Биггер,12.3,11.4,22.7,242
2751,Сэндвич Боксмастер Жюльен,7.8,15.6,20.1,252
2752,Сэндвич Боксмастер из тостера,8.1,15.6,20.1,252
2753,Сэндвич Зингер,11.6,10.7,22.2,231
2754,Сэндвич Классик,10.9,8.8,24.3,220
2755,Сэндвич Лонгер Жюльен,13.4,15,26.3,297
2756,Сэндвич Лонгер Кентукки BBQ,11.6,8,28.8,234
2757,Сэндвич Сандерс,10.5,6.1,28.8,212
2758,Сэндвич Твистер Веджи,4.6,18,22.2,269
2759,Сэндвич Твистер Жюльен,11.1,13.9,23.6,264
2760,Сэндвич Твистер из тостера,10,10,22.5,220
2761,Сэндвич Чизбургер Жюльен,11,10.5,25.9,242
2762,Сэндвич Шефбургер Джуниор Оригинальный,12.6,8.9,22.2,219
2763,Батончик Bombbar Кето Миндальная нуга с ванилью,20,35,10.2,484
2764,Батончик Bombbar Кето Тропический кокос и миндаль,20,35,10,484
2765,Батончик Bombbar Кето Шоколадное парфе с миндалем,20,35,11,486
2766,Батончик Bombbar протеиновый Грецкий орех с медом,20,6.3,2.2,148
2767,Батончик Bombbar протеиновый Датский бисквит,33,8.5,8,292
2768,Батончик Bombbar протеиновый Шоколад,20,5.7,6.1,156
2769,Батончик BSN Syntha-6 Decadence,31.6,12.6,44.2,389
2770,Батончик Dymatize Elite XT Gourmet Protein Bar 42,35.3,11.8,40,376
2771,Батончик Dymatize Elite XT Gourmet Protein Bar 85,37.6,14.1,24.7,412
2772,Батончик Effort протеиновый Ваниль-Печенье,30,14,43,418
2773,Батончик Energy System Perform-Bar,10,5,73,374
2774,Батончик Fit and Joy протеиновый со вкусом малинового чизкейка,33,3,7,185
2775,Батончик FITKIT Extra Protein Bar Almond Latte (Миндальный Латте),27.2,12.7,27.2,327
2776,Батончик FITKIT Extra Protein Bar Banana Flambe (Банановый Фламбе),27.2,12.7,27.2,327
2777,Батончик FITKIT Extra Protein Bar Cherry Brownie (Вишневый Брауни),27.2,14.5,27.2,345
2778,Батончик FITKIT Extra Protein Bar Pina Colada (Пина Колада),27.3,12.7,27.3,327
2779,Батончик FITKIT Extra Protein Bar Triple Chocolate (Тройной Шоколад),27.3,14.5,27.3,345
2780,Батончик FITKIT Protein Bar Coconut Souffle (Кокосовое Суфле),25,7.2,20,265
2781,Батончик FITKIT Protein Bar Double Chocolate (Двойной Шоколад),25,7.5,20,268
2782,Батончик FITKIT Protein Bar Hazelnut-Chocolate (Шоколад-Фундук),25,7.5,20,268
2783,Батончик FITKIT Protein Bar Mango-Passion Fruit (Манго-Маракуйя),25,6.6,20,260
2784,Батончик FITKIT Protein Bar Mocaccino (Моккачино),25,7.5,20,268
2785,Батончик FITKIT Protein Bar Peanut Cake (Арахисовый Торт),25,7,20,263
2786,Батончик FITKIT Protein Bar Pistachio Ice Cream (Фисташковый Пломбир),25,6.7,20,260
2787,Батончик FITKIT Protein Bar Raspberry Cheesecake (Малиновый Чизкейк),25,6.6,20,260
2788,Батончик FITKIT Protein Bar Salted Caramel (Солёная Карамель),25,6.7,20,260
2789,Батончик FITKIT Protein Bar Strawberry Trifle (Клубничный Трайфл),25,6.6,20,260
2790,Батончик Herbalife Протеиновый,29,8.6,46,383
2791,Батончик Herbalife Формула 1 Экспресс,23.7,10.7,37.1,369
2792,Батончик Ironman Slim Bar протеиновый с L-карнитином,14,8,48,320
2793,Батончик Multipower 32% Protein Pack,31.7,11,45,407
2794,Батончик Multipower Crunch Fit,15.8,14.7,55.6,419
2795,Батончик Multipower Energate!,20,21.7,42.9,451
2796,Батончик Multipower L-Carnitine Bar,25,8.6,38,348
2797,Батончик Multipower Power Pack,28.6,10.6,45.7,389
2798,Батончик MyProtein My Bar Zero,31,9.5,3.9,304
2799,Батончик Nattys&Go! Brownie с арахисовой пастой и какао,16,35,45,540
2800,Батончик Nattys&Go! Protein с арахисовой пастой,21,30,39,500
2801,Батончик Nattys&Go! с кокосом,9,41,51,600
2802,Батончик Optimum 100% Whey Crisp Bar,37.1,3.6,48.6,357
2803,Батончик Optimum Complete Protein Diet Bar,40,6,36,360
2804,Батончик Optimum Optimal Protein Diet Bar,40,5,46,360
2805,Батончик Performance Bar,5.9,19.3,60.4,439
2806,Батончик Power Pro с арахисом и карамелью с нугой,16.6,18.6,15.6,350
2807,Батончик Protein Rex Strong Ягодный пай,35,11,12,330
2808,Батончик Quest Bar протеиновый Шоколад с фундуком,33.3,13.3,6.6,317
2809,Батончик Rocket Energy с кокосом и шоколадом,5.9,41,28.6,462
2810,"Батончик Rocket Energy с чаем матча, кокосом и ананасом",3.5,42.8,28.6,467
2811,Батончик Scitec Nutrition Jumbo Bar Double Chocolate Cookie,50,8.2,26,378
2812,Батончик Snaq Fabriq Кокос глазированный,2.8,11.9,2.9,161
2813,Батончик Добрый пекарь Энерджи Monkey протеиновый вишня-шоколад,22.8,12.1,39.2,356
2814,Батончик Леовит Худеем за неделю Мюсли Фенхель с зелёным чаем,4.2,12.4,59.2,367
2815,Батончик Турбослим белковый для похудения,16,8,18,220
2816,Батончик Ути-Booty протеиновый Кокосовый рай,33.3,7.6,6.2,280
2817,Батончик Ути-Booty протеиновый Колумбийская кола,33.3,7.5,6.3,278
2818,Батончик Ути-Booty протеиновый Шоколад-Мята,33.3,7.1,5.8,273
2819,Борщ Леовит Худеем за неделю Сибирский с мясом,19,3.5,48,300
2820,Вафли MyProtein Wafers,35.8,21.5,31,466
2821,Гейнер BSN True-Mass,33.1,11,45.5,434
2822,Гейнер BSN True-Mass 1200,16.1,5.2,71.9,397
2823,Гейнер CytoSport Cyto Gainer,36,3,49.3,367
2824,Гейнер CytoSport Monster Mass,33.3,11.3,47.3,427
2825,Гейнер Dymatize Elite Mass Gainer,36.7,4,51.3,400
2826,Гейнер Dymatize Elite Mega Gainer,21.4,5.7,63.6,393
2827,Гейнер Dymatize Mega Gainer,24,5.6,71.2,432
2828,Гейнер Dymatize Super Mass Gainer,15.6,2.4,75.4,383
2829,Гейнер Gaspari Real Mass,15.4,1.1,76.9,378
2830,Гейнер IronMaxx Titan V.2.0,24.3,2,63,388
2831,Гейнер Max Power Big Muscle,13.9,0.5,75.6,368
2832,Гейнер Muscletech 100% Premium Mass Gainer,14.5,0.8,75.7,254
2833,Гейнер Muscletech Mass Tech Hardcore Pro,23.3,1.5,68.3,379
2834,Гейнер Muscletech Mass Tech Performance,25,3.5,69,392
2835,Гейнер Optimum Pro Complex Gainer,37.7,5,53.5,409
2836,Гейнер Optimum Serious Mass,15,1,76,374
2837,Гейнер Performance Amino Gainer,30.8,4.2,51.7,362
2838,Гейнер Performance Turbo Mass Gainer,21.3,2.6,62.9,360
2839,Гейнер Rule 1 R1 LBS,14,1.5,74,370
2840,Гейнер Ultimate Iso Mass Xtreme Gainer,42.5,4.6,52.3,425
2841,Гейнер Ultimate Magic Milk,42.7,24,16,467
2842,Гейнер Ultimate Massive Whey Gainer,33.3,2.4,56.4,381
2843,Гейнер Ultimate Muscle Juice 2544,22,7.2,60.8,396
2844,Гейнер Ultimate Muscle Juice Revolution 2600,21.1,5.3,64.2,385
2845,Джем Bombbar низкокалорийный груша-корица,0.5,0.1,4,19
2846,Джем Bombbar низкокалорийный манго-банан,0.5,0.1,4,19
2847,Завтрак сухой Geneticlab True Breakfast,50,2,32,352
2848,Изолят соевого белка,90.1,0.2,3.9,380
2849,Каша Dymatize Elite High Protein Granola,47.2,3.5,40.3,368
2850,Каша Dymatize Elite High Protein Oatmeal,48.6,3.5,34.7,361
2851,Каша овсяная Bombbar протеиновая малина,33,5.5,47,371
2852,Каша овсяная Bombbar протеиновая мёд-миндаль,20,4.6,27,235
2853,Каша овсяная Леовит Худеем за неделю Абрикос,9.3,4.5,66.6,344
2854,Каша овсяная Леовит Худеем за неделю Яблоко и корица,9,5.5,67,350
2855,Кисель Леовит Рецепт здоровья желудочный нейтральный,0.2,0,93.3,351
2856,Коктейль Bombbar протеиновый Шоколад,68,6.5,6.5,357
2857,Коктейль Dietalika протеиновый Ягодный бриз,63,2,11,242
2858,Коктейль Energy Diet Smart Манго,73.3,16.7,50,660
2859,Коктейль Energy Diet Smart Ягодный микс,43.3,8.3,16,333
2860,Коктейль Fit Parad клубничный,37,4,23,316
2861,Коктейль Fit Parad со вкусом дыни,40,4,20,276
2862,Коктейль Fit Parad со вкусом шоколадного пломбира,40,4,23,288
2863,Коктейль Herbalife Восстановление силы,50.8,3.4,35.2,376
2864,Коктейль Herbalife Протеиновый Формула 1,34.6,8.8,34.6,356
